Tag,Programme,University,Level of course,Course Name,Course Type,Intake
0,COMPUTER APPLICATIONS,"University of Pune, Pune",POST GRADUATE,MASTERS IN COMPUTER APPLICATIONS,Regular Course,120
0,MANAGEMENT,"University of Pune, Pune",POST GRADUATE,MBA,Regular Course,180
1,COMPUTER APPLICATIONS,"Bharati Vidyapeeth University, Pune",POST GRADUATE,MASTERS IN COMPUTER APPLICATIONS,Regular Course,60
1,COMPUTER APPLICATIONS,"Bharati Vidyapeeth University, Pune",UNDER GRADUATE,BCA,Regular Course,120
2,MANAGEMENT,NOT APPLICABLE,POST GRADUATE DIPLOMA,PGDM,Regular Course,120
3,MANAGEMENT,Dr. Homi Bhabha State University (HBSU),POST GRADUATE,MASTER IN MARKETING MANAGEMENT,Regular Course,30
3,MANAGEMENT,Dr. Homi Bhabha State University (HBSU),POST GRADUATE,MASTERS IN FINANCIAL MANAGEMENT,Regular Course,30
3,MANAGEMENT,Dr. Homi Bhabha State University (HBSU),POST GRADUATE,MMS,Regular Course,180
4,ENGINEERING AND TECHNOLOGY,"Dr. Babasaheb Ambedkar Technological University, Lonere",POST GRADUATE,ARTIFICIAL INTELLIGENCE & DATA SCIENCE,Regular Course,12
4,ENGINEERING AND TECHNOLOGY,"Dr. Babasaheb Ambedkar Technological University, Lonere",POST GRADUATE,AUTOMATION AND ROBOTICS,Regular Course,12
4,ENGINEERING AND TECHNOLOGY,"Dr. Babasaheb Ambedkar Technological University, Lonere",POST GRADUATE,CIVIL ENGINEERING (COMPUTER AIDED STRUCTURAL ENGG),Regular Course,12
4,ENGINEERING AND TECHNOLOGY,"Dr. Babasaheb Ambedkar Technological University, Lonere",POST GRADUATE,COMPUTER SCIENCE & ENGINEERING,Regular Course,12
4,ENGINEERING AND TECHNOLOGY,"Dr. Babasaheb Ambedkar Technological University, Lonere",POST GRADUATE,ELECTRICAL ENGINEERING,Regular Course,12
4,ENGINEERING AND TECHNOLOGY,"Dr. Babasaheb Ambedkar Technological University, Lonere",POST GRADUATE,Electronics and Communication (Advanced Communication Technology),Regular Course,12
4,ENGINEERING AND TECHNOLOGY,"Dr. Babasaheb Ambedkar Technological University, Lonere",POST GRADUATE,ELECTRONICS AND COMMUNICATION (VLSI DESIGN),Regular Course,12
4,ENGINEERING AND TECHNOLOGY,"Dr. Babasaheb Ambedkar Technological University, Lonere",UNDER GRADUATE,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Regular Course,180
4,ENGINEERING AND TECHNOLOGY,"Dr. Babasaheb Ambedkar Technological University, Lonere",UNDER GRADUATE,CIVIL ENGINEERING,Regular Course,60
4,ENGINEERING AND TECHNOLOGY,"Dr. Babasaheb Ambedkar Technological University, Lonere",UNDER GRADUATE,COMPUTER SCIENCE & ENGINEERING,Regular Course,180
4,ENGINEERING AND TECHNOLOGY,"Dr. Babasaheb Ambedkar Technological University, Lonere",UNDER GRADUATE,ELECTRICAL ENGINEERING,Regular Course,60
4,ENGINEERING AND TECHNOLOGY,"Dr. Babasaheb Ambedkar Technological University, Lonere",UNDER GRADUATE,Electronics and Communication(Advanced Communication Technology),Regular Course,60
4,ENGINEERING AND TECHNOLOGY,"Dr. Babasaheb Ambedkar Technological University, Lonere",UNDER GRADUATE,ELECTRONICS AND COMPUTER ENGINEERING,Regular Course,120
4,ENGINEERING AND TECHNOLOGY,"Dr. Babasaheb Ambedkar Technological University, Lonere",UNDER GRADUATE,ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),Regular Course,60
4,ENGINEERING AND TECHNOLOGY,"Dr. Babasaheb Ambedkar Technological University, Lonere",UNDER GRADUATE,MECHANICAL ENGINEERING,Regular Course,120
6,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,CIVIL ENGINEERING,Regular Course,60
6,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,COMPUTER TECHNOLOGY,Regular Course,60
